U_77038	UBA12210	
U_74392	UBA5845	GB_GCA_002432275.1
U_75347	UBA6432	GB_GCA_002441875.1
U_72173	UBA10414	
U_74832	UBA6106	GB_GCA_002428485.1
U_69860	UBA9441	GB_GCA_003453135.1
U_76989	UBA7367	GB_GCA_002470355.1
U_73431	UBA10938	GB_GCA_003534395.1
U_73990	UBA11084	
U_72757	UBA4949	GB_GCA_002397515.1
U_74532	UBA5940	GB_GCA_002430785.1
U_68330	UBA2323	GB_GCA_002345105.1
U_77510	UBA7704	GB_GCA_002482525.1
U_73563	UBA10968	GB_GCA_003489325.1
U_77439	UBA7651	GB_GCA_002483525.1
U_66056	UBA993	GB_GCA_002292015.1
U_75695	UBA6639	GB_GCA_002455775.1
U_69265	UBA2950	GB_GCA_002348865.1
U_69653	UBA9378	
U_67397	UBA1791	GB_GCA_002314455.1
U_72621	UBA306	GB_GCA_002504645.1
U_70503	UBA3666	GB_GCA_002373155.1
U_77089	UBA7402	GB_GCA_002470085.1
U_73032	UBA10748	GB_GCA_003482925.1
U_77866	UBA611	GB_GCA_002505065.1
U_70496	UBA3661	GB_GCA_002373775.1
U_68493	UBA2453	GB_GCA_002342505.1
U_72921	UBA10660	GB_GCA_003482765.1
U_68804	UBA2613	GB_GCA_002339625.1
U_68973	UBA2711	GB_GCA_002354095.1
U_69451	UBA3080	GB_GCA_002366645.1
U_76025	UBA6812	GB_GCA_002452265.1
U_77341	UBA7591	GB_GCA_002478905.1
U_69126	UBA2830	GB_GCA_002351155.1
U_66629	UBA8365	GB_GCA_003483585.1
U_73105	UBA5077	GB_GCA_002414745.1
U_68033	UBA2139	GB_GCA_002328385.1
U_75304	UBA6395	GB_GCA_002439885.1
U_68808	UBA179	GB_GCA_002497565.1
U_66709	UBA1378	GB_GCA_002305505.1
U_75741	UBA509	GB_GCA_002498845.1
U_74157	UBA5694	GB_GCA_002420185.1
U_66506	UBA8305	
U_75569	UBA6564	GB_GCA_002434205.1
U_72232	UBA10432	GB_GCA_003483485.1
U_72570	UBA4850	GB_GCA_002399885.1
U_69151	UBA2852	GB_GCA_002350855.1
U_75665	UBA6619	GB_GCA_002433125.1
U_76127	UBA6875	GB_GCA_002451485.1
U_70405	UBA3603	GB_GCA_002375335.1
U_69244	UBA2932	GB_GCA_002349225.1
U_66442	UBA1208	GB_GCA_002309955.1
U_70747	UBA3816	GB_GCA_002368955.1
U_65572	UBA696	GB_GCA_002298995.1
U_77404	UBA7638	GB_GCA_002483825.1
U_77871	UBA615	GB_GCA_002505145.1
U_75722	UBA6659	GB_GCA_002455425.1
U_68639	UBA2536	GB_GCA_002340965.1
U_76443	UBA7091	GB_GCA_002493425.1
U_75697	UBA6641	GB_GCA_002455755.1
U_67080	UBA8526	GB_GCA_003524365.1
U_71608	UBA4238	GB_GCA_002396255.1
U_70169	UBA3474	GB_GCA_002378045.1
U_65782	UBA21	GB_GCA_002497885.1
U_66312	UBA1138	GB_GCA_002311435.1
U_75730	UBA6667	GB_GCA_002455255.1
U_76589	UBA7214	GB_GCA_002490475.1
U_77059	UBA574	GB_GCA_002497065.1
U_72880	UBA10644	GB_GCA_003456185.1
U_69211	UBA9240	GB_GCA_003530065.1
U_76011	UBA11802	
U_76585	UBA7210	GB_GCA_002490545.1
U_71539	UBA10220	GB_GCA_003537675.1
U_71868	UBA10323	GB_GCA_003455255.1
U_68917	UBA2681	GB_GCA_002354675.1
U_74865	UBA6132	GB_GCA_002435835.1
U_76597	UBA7222	GB_GCA_002473395.1
U_69025	UBA2758	GB_GCA_002353195.1
U_72659	UBA4899	GB_GCA_002398985.1
U_76024	UBA6811	GB_GCA_002452295.1
U_66009	UBA961	GB_GCA_002293005.1
U_76810	UBA12038	GB_GCA_003526405.1
U_66880	UBA1493	GB_GCA_002325035.1
U_74200	UBA5706	GB_GCA_002419965.1
U_76732	UBA7310	GB_GCA_002471665.1
U_68456	UBA2423	GB_GCA_002343035.1
U_73768	UBA5470	GB_GCA_002427255.1
U_77201	UBA7476	GB_GCA_002477275.1
U_68858	UBA2648	GB_GCA_002359615.1
U_70463	UBA3643	GB_GCA_002373855.1
U_71243	UBA10020	
U_73217	UBA5145	GB_GCA_002413865.1
U_69562	UBA3134	GB_GCA_002365175.1
U_67192	UBA8582	
U_67285	UBA1694	GB_GCA_002319955.1
U_67582	UBA8696	GB_GCA_003539215.1
U_69787	UBA9415	GB_GCA_003489105.1
U_70179	UBA9601	GB_GCA_003445155.1
U_69952	UBA3384	GB_GCA_002358935.1
U_66993	UBA1557	GB_GCA_002322575.1
